19334,9,5,1299,2,1,3,3,2,1,1,1,3,3,3,3,2,1,1,1,1,1,2,3,1,1,3,3,3,1,2,2,2,1,2,3,
19334,9,5,3980,1,,3,,1,,1,,3,,3,,1,,1,,1,,3,,1,,3,,1,,2,,1,,3,,
19334,9,5,6113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,10,2,9291,1,2,3,3,1,2,1,2,3,3,3,3,2,2,2,2,2,2,3,3,1,2,3,3,3,3,2,2,2,2,1,2,
19334,10,2,1808,2,2,3,3,2,2,2,1,3,3,3,3,2,1,2,1,2,1,3,2,2,1,3,2,3,2,2,1,2,1,2,2,
19334,10,2,3361,2,,3,,2,,1,,3,,3,,1,,1,,1,,2,,1,,2,,2,,1,,1,,2,,
19334,12,3,10331,1,2,2,2,1,2,1,1,2,2,2,2,1,2,3,3,3,3,3,3,1,2,3,3,3,3,1,4,1,3,3,1,
19334,12,3,2514,2,,2,,2,,1,,2,,2,,2,,3,,3,,3,,2,,3,,3,,4,,3,,1,,
19334,12,3,5818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,13,6,8457,1,1,3,3,1,1,1,1,3,3,3,3,1,1,1,1,1,1,4,4,2,1,3,3,2,1,1,2,1,1,3,3,
19334,13,6,10459,1,2,3,3,1,1,1,1,3,3,3,2,1,2,1,1,1,1,4,4,1,2,3,3,1,1,2,1,1,2,3,1,
19334,13,6,2982,2,,3,,1,,1,,3,,2,,2,,1,,1,,4,,2,,3,,1,,1,,2,,1,,
19334,13,6,6438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,14,7,9444,1,1,1,2,1,1,1,1,1,3,2,3,3,3,4,3,4,2,4,4,2,2,2,3,4,3,2,1,1,1,2,3,
19334,14,7,5075,1,,2,,1,,1,,3,,3,,3,,3,,2,,4,,2,,3,,3,,1,,1,,3,,
19334,15,5,9465,2,2,2,3,2,1,1,2,3,3,3,3,1,2,2,1,2,1,3,3,1,1,3,3,3,1,1,2,1,2,1,2,
19334,15,5,1783,2,2,3,3,1,2,2,2,3,3,3,3,2,3,1,3,1,2,3,3,1,2,3,2,1,3,2,2,2,1,2,2,
19334,15,5,3184,2,,3,,2,,2,,3,,3,,3,,3,,2,,3,,2,,2,,3,,2,,1,,2,,
19334,16,2,1488,2,2,3,3,2,2,1,2,3,3,3,3,2,1,2,1,2,1,3,3,1,1,2,3,2,1,1,1,1,1,4,1,
19334,16,2,3933,2,3,3,3,2,1,2,1,3,3,3,3,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,2,1,2,
19334,16,2,4880,3,,3,,1,,1,,3,,3,,1,,1,,1,,3,,1,,1,,1,,1,,2,,2,,
19334,16,2,5810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,18,3,8997,3,2,3,3,3,3,1,1,3,3,3,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,4,4,
19334,18,3,4047,2,3,3,3,3,3,1,2,3,3,3,3,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,4,4,
19334,18,3,5416,3,,3,,3,,2,,3,,3,,1,,1,,1,,2,,1,,2,,2,,1,,1,,4,,
19334,19,6,1914,1,2,3,3,1,3,2,1,2,3,3,3,1,2,1,1,1,1,3,3,1,1,2,1,2,1,1,2,1,2,3,1,
19334,19,6,4772,2,,3,,3,,1,,3,,3,,2,,1,,1,,3,,1,,1,,1,,2,,2,,1,,
19334,21,7,1651,3,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,1,2,3,3,2,1,2,3,2,2,1,2,1,2,4,2,
19334,21,7,3718,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,1,,3,,2,,2,,2,,2,,
19334,23,5,324,2,2,3,2,2,2,1,1,3,2,3,3,2,2,1,3,1,2,3,3,1,2,3,3,3,2,1,4,1,3,1,1,
19334,23,5,2609,2,,2,,2,,1,,2,,3,,2,,3,,2,,3,,2,,3,,2,,4,,3,,1,,
19334,23,5,5814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,2,6,10404,1,3,1,1,1,1,1,1,4,1,4,3,1,4,1,1,1,1,1,1,1,1,3,4,1,3,3,3,4,4,1,1,
19336,2,6,2358,3,1,1,1,1,1,1,1,1,3,3,3,4,4,1,1,1,1,1,3,1,1,4,3,3,4,3,4,4,4,1,1,
19336,2,6,4173,1,,1,,1,,1,,3,,3,,4,,1,,1,,3,,1,,3,,4,,4,,4,,1,,
19336,2,6,5709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,3,7,9337,1,1,1,1,1,1,1,1,3,3,3,4,1,1,1,1,1,1,4,3,1,1,3,2,1,1,3,3,3,3,1,1,
19336,3,7,2043,1,,1,,1,,1,,3,,4,,1,,1,,1,,3,,1,,2,,1,,3,,3,,1,,
19336,4,5,1302,1,1,3,3,1,1,1,1,4,4,4,3,1,1,1,1,1,1,1,3,1,1,3,3,1,1,3,1,3,4,1,1,
19336,4,5,2287,1,,3,,1,,1,,4,,3,,1,,1,,1,,3,,1,,3,,1,,1,,4,,1,,
