STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WESD,WESF,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT09,WT01,WT06,WT02,WT08,WT03
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160625,0.00,-9999,-9999,-9999,83,60,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160626,0.00,-9999,-9999,-9999,82,56,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160627,0.00,-9999,-9999,-9999,83,57,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160628,0.12,-9999,-9999,-9999,81,58,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160629,0.11,-9999,-9999,-9999,72,68,68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160630,0.00,-9999,-9999,-9999,83,60,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00060128,ANSONIA 1 NE CT US,41.5,41.3491,-73.0918,20160701,0.00,0.0,0.0,-9999,83,60,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CTNH0014,PROSPECT 1.9 ENE CT US,98.8,41.5124,-72.9437,20160501,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CTNH0014,PROSPECT 1.9 ENE CT US,98.8,41.5124,-72.9437,20160502,0.17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CTNH0014,PROSPECT 1.9 ENE CT US,98.8,41.5124,-72.9437,20160503,0.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
